UID,p_id,exp
0090918492,00000765,3
0091021866,00000765,66
0091094181,00000765,79
0091218159,00000765,196
0091310818,00000765,69
0091339736,00000765,197
0091370072,00000765,146
0091383426,00000765,145
0091392850,00000765,191
0091448545,00000765,63
0091589186,00000765,113
0091693402,00000765,134
0091713861,00000765,88
0091763045,00000765,92
0091893185,00000765,81
0091944625,00000765,142
0091976632,00000765,12
0092008276,00000765,35
0092019470,00000765,9
0092040358,00000765,62
0092089746,00000765,185
0092124165,00000765,162
0092213328,00000765,54
0092333749,00000765,161
0092443312,00000765,16
0092702974,00000765,198
0092712112,00000765,146
0092737233,00000765,118
0092773128,00000765,128
0092787079,00000765,30
0092864085,00000765,131
0093126385,00000765,174
0093323937,00000765,75
0093341615,00000765,184
0093349482,00000765,182
0093388377,00000765,107
0093431276,00000765,134
0093527058,00000765,77
0093815598,00000765,15
0093906411,00000765,137
0093920247,00000765,116
0093954991,00000765,35
0093985368,00000765,92
0094060248,00000765,85
0094113401,00000765,169
0094249374,00000765,128
0094344028,00000765,124
0094466809,00000765,50
0094485403,00000765,116
0094521038,00000765,160
0094560040,00000765,47
0094657282,00000765,13
0094689166,00000765,110
0094707966,00000765,84
0094780689,00000765,34
0094813270,00000765,41
0094908197,00000765,75
0094915387,00000765,30
0095062183,00000765,198
0095092707,00000765,74
0095115985,00000765,165
0095265658,00000765,108
0095282219,00000765,17
0095316425,00000765,14
0095361340,00000765,39
0095440779,00000765,72
0095478776,00000765,185
0095515697,00000765,143
0095533573,00000765,59
0095628241,00000765,125
0095645106,00000765,190
0095651025,00000765,142
0095658216,00000765,94
0096391833,00000765,60
0096433467,00000765,168
0096513361,00000765,67
0096755595,00000765,199
0096777529,00000765,48
0096838537,00000765,158
0096898843,00000765,87
0097153273,00000765,185
0097218043,00000765,53
0097309508,00000765,78
0097450367,00000765,89
0097461906,00000765,127
0097481186,00000765,62
0097555157,00000765,142
0097581119,00000765,33
0097583050,00000765,114
0097606543,00000765,84
0097625581,00000765,31
0097728079,00000765,46
0097729036,00000765,138
0097902907,00000765,27
0097928623,00000765,188
0097952203,00000765,195
0098075610,00000765,84
0098253924,00000765,116
0098339547,00000765,70
0098375545,00000765,139
0098588288,00000765,116
0098592587,00000765,18
0098601933,00000765,20
0098927481,00000765,136
0099051063,00000765,161
0099498513,00000765,101
0099501942,00000765,59
0099729707,00000765,143
0099760684,00000765,55
0000198293,00002378,169
0000397177,00002378,58
0000498845,00002378,147
0000794927,00002378,5
0000822095,00002378,106
0000843355,00002378,12
0000920984,00002378,137
0001030083,00002378,6
0001059822,00002378,59
0001060306,00002378,7
0001089862,00002378,67
0001191120,00002378,56
0001229871,00002378,157
0001230575,00002378,24
0001305056,00002378,34
0001433276,00002378,197
0001590879,00002378,142
0001787254,00002378,158
0001951345,00002378,11
0002025957,00002378,143
0002188085,00002378,48
0002382734,00002378,127
0002402828,00002378,173
0002542951,00002378,130
0002563504,00002378,156
0002616922,00002378,108
0002666790,00002378,122
0002885618,00002378,190
0002988848,00002378,91
0003111704,00002378,115
0003128902,00002378,76
0003168802,00002378,157
0003422575,00002378,114
0003940328,00002378,9
0003955938,00002378,127
0004083265,00002378,194
0004088685,00002378,115
0004205491,00002378,97
0004268103,00002378,120
0004292631,00002378,35
0004334533,00002378,152
0004515800,00002378,151
0004520595,00002378,141
0004613917,00002378,68
0004826120,00002378,6
0004879924,00002378,161
0004909256,00002378,13
0005020458,00002378,90
0005080512,00002378,185
0005502754,00002378,103
0005692117,00002378,140
0005925535,00002378,97
0005955878,00002378,67
0005978391,00002378,63
0006119617,00002378,19
0006585078,00002378,131
0006743887,00002378,105
0006771749,00002378,138
0006803646,00002378,143
0006804949,00002378,124
0006810788,00002378,120
0006914859,00002378,58
0007396036,00002378,159
0007511020,00002378,134
0007682214,00002378,157
0007800411,00002378,149
0008046482,00002378,129
0008134803,00002378,3
0008233526,00002378,138
0008365347,00002378,74
0008508794,00002378,10
0008607228,00002378,63
0008657413,00002378,38
0008740057,00002378,15
0009146573,00002378,135
0009303645,00002378,179
0009398153,00002378,29
0009490490,00002378,68
0009497962,00002378,22
0009500181,00002378,10
0009530870,00002378,150
0009645631,00002378,38
0009653254,00002378,117
0009662708,00002378,10
0009909207,00002378,86
0010018705,00002378,197
0010020921,00002378,92
0010219615,00002378,159
0010266513,00002378,185
0010295571,00002378,39
0010340439,00002378,187
0010595583,00002378,157
0010618985,00002378,86
0010985430,00002378,25
0011084937,00002378,189
0011192179,00002378,12
0011333636,00002378,185
0011763259,00002378,37
0011775021,00002378,106
0011900023,00002378,188
0011992168,00002378,188
0012060399,00002378,115
0012536385,00002378,108
0012695505,00002378,37
0012930349,00002378,91
0013051218,00002378,137
0013116624,00002378,121
0013159519,00002378,136
0013264650,00002378,5
0013589987,00002378,174
0013657389,00002378,114
0013843662,00002378,136
0013942351,00002378,38
0013947282,00002378,15
0013970105,00002378,127
0013975562,00002378,50
0014056999,00002378,34
0014367334,00002378,120
0014427346,00002378,110
0014484283,00002378,172
0014505269,00002378,92
0014537689,00002378,117
0014744901,00002378,78
0014814284,00002378,140
0014854307,00002378,132
0014938170,00002378,25
0014943984,00002378,84
0015200444,00002378,28
0015250164,00002378,118
0015295292,00002378,7
0015394434,00002378,34
0015430161,00002378,25
0015559489,00002378,110
0015711401,00002378,91
0015741360,00002378,20
0015906001,00002378,62
0015933305,00002378,141
0016073088,00002378,192
0016089971,00002378,153
0016179605,00002378,155
0016369737,00002378,198
0016459491,00002378,88
0016492643,00002378,31
0016497097,00002378,94
0016584535,00002378,184
0016648657,00002378,29
0016648774,00002378,187
0016677973,00002378,67
0016726830,00002378,18
0016824822,00002378,169
0016836215,00002378,188
0016869762,00002378,59
0016936199,00002378,153
0017069853,00002378,46
0017144710,00002378,93
0017221454,00002378,102
0017347829,00002378,76
0017366627,00002378,88
0017602958,00002378,191
0017743544,00002378,174
0017791557,00002378,9
0018012520,00002378,33
0018083600,00002378,124
0018493181,00002378,6
0018614224,00002378,82
0018634953,00002378,155
0018654714,00002378,60
0018717942,00002378,100
0018822422,00002378,84
0019036311,00002378,151
0019171339,00002378,65
0019239479,00002378,132
0019304711,00002378,72
0019361518,00002378,43
0019368684,00002378,73
0019479351,00002378,114
0019592164,00002378,81
0019633122,00002378,85
0019729470,00002378,11
0019750069,00002378,160
0019878719,00002378,61
0020028750,00002378,195
0020099569,00002378,27
0020209218,00002378,5
0020221456,00002378,112
0020314702,00002378,179
0020621895,00002378,58
0020868301,00002378,147
0021068120,00002378,116
0021135642,00002378,197
0021203203,00002378,131
0021282903,00002378,93
0021344560,00002378,104
0021633757,00002378,5
0021711230,00002378,138
0021779849,00002378,115
0021973581,00002378,34
0022048657,00002378,34
0022135387,00002378,57
0022193057,00002378,169
0022197762,00002378,44
0022415281,00002378,73
0022461805,00002378,117
0022670513,00002378,30
0022705747,00002378,156
0022743885,00002378,62
0022944950,00002378,68
0023176794,00002378,175
0023232733,00002378,166
0023367541,00002378,193
0023370723,00002378,153
0023478709,00002378,149
0023552119,00002378,199
0023718318,00002378,38
0023764444,00002378,55
0024096650,00002378,70
0024155457,00002378,187
0024253623,00002378,191
0024264917,00002378,126
0024266603,00002378,57
0024294856,00002378,151
0024327491,00002378,21
0024336424,00002378,113
0024386240,00002378,133
0024501565,00002378,20
0024620955,00002378,64
0024621862,00002378,193
0024629786,00002378,70
0024837471,00002378,28
0024873412,00002378,145
0024952752,00002378,41
0024962478,00002378,190
0024984526,00002378,120
0025253444,00002378,97
0025346630,00002378,177
0025354048,00002378,51
0025379906,00002378,116
0025419386,00002378,43
0025576894,00002378,127
0025604225,00002378,2
0025619047,00002378,198
0025620156,00002378,44
0025735370,00002378,199
0025838613,00002378,108
0025926201,00002378,111
0026018698,00002378,33
0026197206,00002378,75
0026356551,00002378,106
0026417033,00002378,45
0026629550,00002378,82
0026677158,00002378,17
0026775693,00002378,92
0027158665,00002378,8
0027166648,00002378,3
0027273373,00002378,7
0027459209,00002378,33
0027466039,00002378,87
0027506280,00002378,139
0027590660,00002378,185
0027683636,00002378,74
0027783973,00002378,135
0027851448,00002378,66
0027904328,00002378,151
0027939540,00002378,72
0028093933,00002378,148
0028177132,00002378,142
0028223227,00002378,110
0028256327,00002378,164
0028409217,00002378,109
0028479665,00002378,140
