ALL,AML,Breast,Colon,,,,,,,,
81,14,158,106,,,,,,,,
121,16,142,87,,,,,,,,
188,176,7,116,,,,,,,,
85,57,167,167,,,,,,,,
188,36,97,110,,,,,,,,
97,54,136,29,,,,,,,,
63,136,6,20,,,,,,,,
59,194,171,92,,,,,,,,
18,178,129,109,,,,,,,,
74,57,193,43,,,,,,,,
8,57,93,17,,,,,,,,
47,135,77,88,,,,,,,,
52,35,136,93,,,,,,,,
137,155,172,8,,,,,,,,
181,107,22,17,,,,,,,,
152,83,164,81,,,,,,,,
54,10,44,36,,,,,,,,
95,29,189,158,,,,,,,,
64,128,0,7,,,,,,,,
93,188,0,122,,,,,,,,
153,81,0,81,,,,,,,,
65,83,0,70,,,,,,,,
90,164,0,97,,,,,,,,
132,125,0,172,,,,,,,,
27,114,0,118,,,,,,,,
110,49,0,112,,,,,,,,
160,23,0,131,,,,,,,,
116,63,0,73,,,,,,,,
114,170,0,175,,,,,,,,
48,105,0,150,,,,,,,,
27,167,0,193,,,,,,,,
82,30,0,15,,,,,,,,
96,171,0,121,,,,,,,,
38,94,0,87,,,,,,,,
5,95,0,190,,,,,,,,
138,3,0,173,,,,,,,,
176,42,0,147,,,,,,,,
56,181,0,95,,,,,,,,
85,155,0,110,,,,,,,,
117,104,0,112,,,,,,,,
83,22,0,169,,,,,,,,
23,172,0,161,,,,,,,,
24,108,0,40,,,,,,,,
116,137,0,140,,,,,,,,
100,137,0,99,,,,,,,,
20,124,0,180,,,,,,,,
101,112,0,23,,,,,,,,
64,113,0,108,,,,,,,,
119,32,0,174,,,,,,,,
140,44,0,36,,,,,,,,
10,67,0,78,,,,,,,,
136,165,0,86,,,,,,,,
134,187,0,161,,,,,,,,
34,33,0,125,,,,,,,,
145,26,0,116,,,,,,,,
38,47,0,134,,,,,,,,
81,64,0,35,,,,,,,,
10,26,0,132,,,,,,,,
140,56,0,170,,,,,,,,
9,171,0,127,,,,,,,,
5,31,0,149,,,,,,,,
71,68,0,28,,,,,,,,
63,151,0,142,,,,,,,,
2,43,0,30,,,,,,,,
158,120,0,29,,,,,,,,
111,139,0,58,,,,,,,,
27,146,0,183,,,,,,,,
46,166,0,9,,,,,,,,
7,112,0,146,,,,,,,,
192,42,0,164,,,,,,,,
123,174,0,128,,,,,,,,
83,53,0,104,,,,,,,,
40,131,0,3,,,,,,,,
132,100,0,142,,,,,,,,
179,117,0,128,,,,,,,,
184,84,0,80,,,,,,,,
40,57,0,24,,,,,,,,
122,183,0,11,,,,,,,,
154,174,0,64,,,,,,,,
9,154,0,190,,,,,,,,
128,109,0,27,,,,,,,,
5,127,0,4,,,,,,,,
152,49,0,56,,,,,,,,
137,55,0,43,,,,,,,,
8,119,0,145,,,,,,,,
70,147,0,41,,,,,,,,
12,152,0,87,,,,,,,,
125,180,0,68,,,,,,,,
185,3,0,119,,,,,,,,
166,42,0,157,,,,,,,,
154,10,0,47,,,,,,,,
35,195,0,114,,,,,,,,
149,89,0,127,,,,,,,,
104,33,0,5,,,,,,,,
66,80,0,27,,,,,,,,
89,58,0,178,,,,,,,,
20,95,0,40,,,,,,,,
148,113,0,139,,,,,,,,
171,142,0,116,,,,,,,,
20,179,0,138,,,,,,,,
171,9,0,19,,,,,,,,
112,183,0,106,,,,,,,,
189,139,0,160,,,,,,,,
119,129,0,114,,,,,,,,
8,177,0,90,,,,,,,,
7,136,0,186,,,,,,,,
137,39,0,146,,,,,,,,
167,4,0,86,,,,,,,,
100,82,0,175,,,,,,,,
130,136,0,76,,,,,,,,
48,158,0,75,,,,,,,,
13,148,0,111,,,,,,,,
99,147,0,126,,,,,,,,
138,157,0,8,,,,,,,,
38,72,0,0,,,,,,,,
19,106,0,0,,,,,,,,
74,71,0,0,,,,,,,,
32,156,0,0,,,,,,,,
148,96,0,0,,,,,,,,
96,168,0,0,,,,,,,,
79,172,0,0,,,,,,,,
190,8,0,0,,,,,,,,
34,76,0,0,,,,,,,,
46,107,0,0,,,,,,,,
86,160,0,0,,,,,,,,
84,181,0,0,,,,,,,,
92,187,0,0,,,,,,,,
194,114,0,0,,,,,,,,
8,19,0,0,,,,,,,,
79,194,0,0,,,,,,,,
183,161,0,0,,,,,,,,
19,125,0,0,,,,,,,,
64,19,0,0,,,,,,,,
105,96,0,0,,,,,,,,
44,25,0,0,,,,,,,,
118,93,0,0,,,,,,,,
58,56,0,0,,,,,,,,
162,184,0,0,,,,,,,,
32,35,0,0,,,,,,,,
111,3,0,0,,,,,,,,
3,53,0,0,,,,,,,,
85,192,0,0,,,,,,,,
73,118,0,0,,,,,,,,
46,178,0,0,,,,,,,,
75,112,0,0,,,,,,,,
175,172,0,0,,,,,,,,
21,165,0,0,,,,,,,,
138,1,0,0,,,,,,,,
142,186,0,0,,,,,,,,
65,66,0,0,,,,,,,,
68,125,0,0,,,,,,,,
50,182,0,0,,,,,,,,
4,64,0,0,,,,,,,,
122,69,0,0,,,,,,,,
142,147,0,0,,,,,,,,
98,26,0,0,,,,,,,,
69,128,0,0,,,,,,,,
101,124,0,0,,,,,,,,
69,25,0,0,,,,,,,,
149,39,0,0,,,,,,,,
196,36,0,0,,,,,,,,
45,114,0,0,,,,,,,,
12,44,0,0,,,,,,,,
186,48,0,0,,,,,,,,
145,91,0,0,,,,,,,,
35,28,0,0,,,,,,,,
182,78,0,0,,,,,,,,
193,80,0,0,,,,,,,,
106,192,0,0,,,,,,,,
191,111,0,0,,,,,,,,
96,101,0,0,,,,,,,,
2,48,0,0,,,,,,,,
146,56,0,0,,,,,,,,
130,186,0,0,,,,,,,,
31,160,0,0,,,,,,,,
192,165,0,0,,,,,,,,
6,56,0,0,,,,,,,,
8,163,0,0,,,,,,,,
168,95,0,0,,,,,,,,
181,59,0,0,,,,,,,,
115,7,0,0,,,,,,,,
11,161,0,0,,,,,,,,
99,99,0,0,,,,,,,,
23,93,0,0,,,,,,,,
117,150,0,0,,,,,,,,
15,132,0,0,,,,,,,,
68,27,0,0,,,,,,,,
96,65,0,0,,,,,,,,
71,15,0,0,,,,,,,,
138,152,0,0,,,,,,,,
148,37,0,0,,,,,,,,
93,9,0,0,,,,,,,,
188,164,0,0,,,,,,,,
126,70,0,0,,,,,,,,
110,57,0,0,,,,,,,,
21,198,0,0,,,,,,,,
59,90,0,0,,,,,,,,
148,161,0,0,,,,,,,,
168,19,0,0,,,,,,,,
1,84,0,0,,,,,,,,
189,98,0,0,,,,,,,,
179,170,0,0,,,,,,,,
125,17,0,0,,,,,,,,
136,72,0,0,,,,,,,,
200,150,0,0,,,,,,,,
45,191,0,0,,,,,,,,
8,90,0,0,,,,,,,,
52,112,0,0,,,,,,,,
23,32,0,0,,,,,,,,
1,145,0,0,,,,,,,,
0,103,0,0,,,,,,,,
0,198,0,0,,,,,,,,
0,169,0,0,,,,,,,,
0,79,0,0,,,,,,,,
0,162,0,0,,,,,,,,
0,41,0,0,,,,,,,,
0,132,0,0,,,,,,,,
0,166,0,0,,,,,,,,
0,127,0,0,,,,,,,,
0,39,0,0,,,,,,,,
0,32,0,0,,,,,,,,
0,163,0,0,,,,,,,,
0,174,0,0,,,,,,,,
0,153,0,0,,,,,,,,
0,121,0,0,,,,,,,,
0,199,0,0,,,,,,,,
0,192,0,0,,,,,,,,
0,102,0,0,,,,,,,,
0,68,0,0,,,,,,,,
0,5,0,0,,,,,,,,
0,161,0,0,,,,,,,,
0,142,0,0,,,,,,,,
0,175,0,0,,,,,,,,
0,185,0,0,,,,,,,,
