p_id,exp,,,p1,p2,p3,p4,p5,p6,P7,P8,P9,P10,P11,P12,P13,,,,,,,,,,,,,,,
22162,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33553,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47360,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47880,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58484,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65736,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70863,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77689,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79175,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
